num,date,color1,difficulty1,connection1,word11,word12,word13,word14,color2,difficulty2,connection2,word21,word22,word23,word24,color3,difficulty3,connection3,word31,word32,word33,word34,color4,difficulty4,connection4,word41,word42,word43,word44
1,2023 Jun 12,YELLOW,1,WET WEATHER,HAIL,RAIN,SLEET,SNOW,GREEN,2,NBA TEAMS,BUCKS,HEAT,JAZZ,NETS,BLUE,3,KEYBOARD KEYS,OPTION,RETURN,SHIFT,TAB,PURPLE,4,PALINDROMES,KAYAK,LEVEL,MOM,RACE CAR
2,2023 Jun 13,YELLOW,1,FOOTWEAR,BOOT,LOAFER,PUMP,SNEAKER,GREEN,2,UNITS OF LENGTH,FOOT,LEAGUE,MILE,YARD,BLUE,3,MAGAZINES,ESSENCE,PEOPLE,TIME,US,PURPLE,4,LETTER HOMOPHONES,ARE,QUEUE,SEA,WHY
3,2023 Jun 14,YELLOW,1,FACIAL FEATURES,CHEEK,EYE,MOUTH,NOSE,GREEN,2,SYNONYMS FOR EAT,CHOW,GOBBLE,SCARF,WOLF,BLUE,3,DOG BREEDS- INFORMALLY,LAB,PEKE,PIT,POM,PURPLE,4,MEMBERS OF A TRIO,AMIGO,KING,STOOGE,TENOR
4,2023 Jun 15,YELLOW,1,SNEAKER BRANDS,ADIDAS,NIKE,PUMA,REEBOK,GREEN,2,MUSICALS BEGINNING WITH "C",CABARET,CAROUSEL,CATS,CHICAGO,BLUE,3,CLEANING VERBS,DUST,MOP,SWEEP,VACUUM,PURPLE,4,___ MAN SUPERHEROES,BAT,IRON,SPIDER,SUPER
5,2023 Jun 16,YELLOW,1,STREAMING SERVICES,HULU,NETFLIX,PEACOCK,PRIME,GREEN,2,CONDIMENTS,KETCHUP,MAYO,RELISH,TARTAR,BLUE,3,SYNONYMS FOR SAD,BLUE,DOWN,GLUM,LOW,PURPLE,4,CLUE CHARACTERS,GREEN,MUSTARD,PLUM,SCARLET
6,2023 Jun 17,YELLOW,1,MONOPOLY SQUARES,BOARDWALK,CHANCE,GO,JAIL,GREEN,2,SHADES OF BLUE,BABY,MIDNIGHT,POWDER,ROYAL,BLUE,3,RAPPERS,COMMON,FUTURE,ICE CUBE,Q-TIP,PURPLE,4,MEMBERS OF A SEPTET,SEA,SIN,SISTER,WONDER
7,2023 Jun 18,YELLOW,1,LEG PARTS,ANKLE,KNEE,SHIN,THIGH,GREEN,2,BABY ANIMALS,CALF,CUB,JOEY,KID,BLUE,3,SLANG FOR TOILET,CAN,HEAD,JOHN,THRONE,PURPLE,4,___ FISH THAT AREN'T FISH,CRAY,JELLY,SILVER,STAR
8,2023 Jun 19,YELLOW,1,BOARD GAMES,BACKGAMMON,CHECKERS,CHESS,GO,GREEN,2,MATTRESS SIZES,FULL,KING,QUEEN,TWIN,BLUE,3,THINGS THAT ARE RED,CHERRY,FIRE TRUCK,RUBY,STOP SIGN,PURPLE,4,THINGS WITH KEYS,CRYPTOGRAPHY,FLORIDA,LOCKSMITH,PIANO
9,2023 Jun 20,YELLOW,1,SPORTS,CRICKET,FENCING,POLO,SQUASH,GREEN,2,TOPS,CAMI,HALTER,TANK,TEE,BLUE,3,VEGETABLES,BEET,CARROT,CORN,ONION,PURPLE,4,INSECTS,ANT,BEETLE,MANTIS,TERMITE
10,2023 Jun 21,YELLOW,1,FRUIT,DATE,KIWI,LEMON,ORANGE,GREEN,2,COUNTRIES,CHAD,GEORGIA,JORDAN,TOGO,BLUE,3,BIRDS,CRANE,JAY,SWALLOW,TURKEY,PURPLE,4,ZODIAC SYMBOLS,FISH,GOAT,SCALES,TWINS
11,2023 Jun 22,YELLOW,1,SPICES BEGINNING WITH "C",CARDAMOM,CLOVE,CORIANDER,CUMIN,GREEN,2,TERMS OF ENDEARMENT,BOO,HONEY,SUGAR,SWEETIE,BLUE,3,THINGS WITH WINGS,AIRPLANE,ANGEL,BIRD,PEGASUS,PURPLE,4,SPICE GIRLS,BABY,GINGER,POSH,SCARY
12,2023 Jun 23,YELLOW,1,ANIMAL GROUP NAMES,FLOCK,PACK,POD,SCHOOL,GREEN,2,DEADLY SINS,ENVY,GREED,LUST,PRIDE,BLUE,3,SLOW ANIMALS,LORIS,SLOTH,SNAIL,TORTOISE,PURPLE,4,TRIG FUNCTIONS,COT,SEC,SIN,TAN
13,2023 Jun 24,YELLOW,1,AIRLINES,FRONTIER,SPIRIT,UNITED,VIRGIN,GREEN,2,GREEK LETTERS,BETA,CHI,DELTA,IOTA,BLUE,3,SILENT "G",GNAT,GNAW,GNOCCHI,GNOME,PURPLE,4,HOMOPHONES,GNU,KNEW,NEW,NU
14,2023 Jun 25,YELLOW,1,BEDS,BUNK,CANOPY,MURPHY,TRUNDLE,GREEN,2,FAMOUS BROTHERS,JONAS,MARX,WARNER,WRIGHT,BLUE,3,HONDAS,ACCORD,CIVIC,PASSPORT,PILOT,PURPLE,4,VIDEO GAME CHARACTERS,CRASH,LINK,MARIO,SONIC
15,2023 Jun 26,YELLOW,1,BIRD SOUNDS,CAW,CHIRP,CLUCK,TWEET,GREEN,2,COLORS,BROWN,PINK,TURQUOISE,VIOLET,BLUE,3,FISHING GEAR,LURE,REEL,ROD,TACKLE,PURPLE,4,FICTIONAL PIRATES,HOOK,JONES,SILVER,SPARROW
16,2023 Jun 27,YELLOW,1,COFFEE DRINKS,AMERICANO,CAPPUCCINO,ESPRESSO,LATTE,GREEN,2,TREE NUTS,ALMOND,CASHEW,PECAN,WALNUT,BLUE,3,SHADES OF GREEN,EMERALD,FOREST,KELLY,OLIVE,PURPLE,4,MR. ___,BEAN,CLEAN,FOX,PEANUT
17,2023 Jun 28,YELLOW,1,NECKWEAR,ASCOT,BOLO,SCARF,TIE,GREEN,2,SHIP DIRECTIONS,BOW,PORT,STARBOARD,STERN,BLUE,3,DETERGENTS,ALL,ERA,GAIN,TIDE,PURPLE,4,___ TRIANGLE,ACUTE,BERMUDA,LOVE,RIGHT
18,2023 Jun 29,YELLOW,1,MUSCLES- INFORMALLY,LAT,PEC,QUAD,TRI,GREEN,2,AWARDS,CUP,MEDAL,RIBBON,TROPHY,BLUE,3,TITLE TV DOCTORS,GREY,HOUSE,HOWSER,QUINN,PURPLE,4,NFL PLAYERS,BEAR,BILL,BROWN,COMMANDER
